tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_teff,st_logg,st_rad,pl_eqt
1,25.0571312,7.5424225,533.486013,3.2396838,9.6245,5696,4.26563,1.15281,688.6094029
1,24.2454967,3.3725583,6260.67036,3.878568,10.2565,3535,4.84874,0.465271,122.2177444
2,14.2545623,4.7250029,7899.693956,10.7048234,11.7835,5739,4.28235,1.09597,785.7055082
1,14.1758947,3.7543827,907.1324529,2.6231641,8.6522,5723.87,4.438,0.864173,690.9961983
1,19.5901578,4.002861,1182.667864,3.0026428,8.6522,5723.87,4.438,0.864173,620.3638839
1,6.2036219,3.01098,548.9044399,2.056748,8.6522,5723.87,4.438,0.864173,910.1452592
1,3.79589,2.4602856,317.5272928,1.553135,8.6522,5723.87,4.438,0.864173,1072.065399
0,2.2645386,3.8193701,15019.94209,5.1936764,13.7991,3443,4.81617,0.411471,616.7174475
1,3.4447015,1.912,796,2.00495,9.91924,3912,4.62642,0.63,1086
1,3.0300715,2.5466671,21794.6137,12.7529892,11.0248,5242.82,4.52404,0.857369,1077.414594
1,12.72038,2.401,1070,4.96046,10.2768,6212,4.17664,1.48,705
1,6.238755,3.6178567,373.5681138,2.9728283,10.2768,6212,4.17664,1.47768,1255.46077
1,3.2947689,1.7483103,1324.040277,2.5248559,11.2582,3853,4.63168,0.62326,700.5995436
1,0.7645807,1.07057,394.9832006,1.2407226,11.2582,3853,4.63168,0.62326,1140.084569
1,12.6396982,3.3830702,3292.681286,4.6025162,10.7192,5217,4.59186,0.789425,640.0266601
2,1.8428078,1.449,1950,21.2705,11.1311,5080,4.48159,4.09,1785
1,1.7208555,1.8346409,10014.25874,13.4646314,13.8046,5832.83,4.20893,1.33402,1758.399429
2,4.7802597,1.4588658,1015.455004,7.6126429,11.1634,5826,3.7213,2.3387201,1654.298952
2,0.3814849,0.565,570,2.0605,11.598,4255,4.55641,0.71,1539
2,4.6595169,0.9011821,1725.170626,2.1961507,11.1966,3489,4.74553,0.490729,519.9004855
1,6.4002807,2.1559875,1026.601873,2.2730301,11.0157,4599,4.58487,0.720551,699.0536347
2,4.8204512,1.756,1930,2.36747,12.1819,3692,4.71598,0.52,572
1,18.6548829,5.4431451,1495.444947,4.3869878,11.1802,5141,4.49143,0.876154,585.8091542
1,4.3074513,2.3379196,1094.84195,3.2819879,11.1802,5141,4.49143,0.876154,954.8757629
1,5.9041278,2.7678313,773.9266468,2.4489454,11.1802,5141,4.49143,0.876154,859.6105665
1,37.9251983,3.5345219,1370.788854,3.241643,11.1802,5141,4.49143,0.876154,462.4282696
1,15.9234883,4.021,493,2.18203,8.4724,5711.85,4.38315,1.08,735
1,4.3601536,2.3408909,5592.290918,6.9564258,11.1153,5227,4.50479,0.874131,961.6063113
1,13.0791581,2.97,1143,3.25485,10.2108,5453,4.41707,1,735
1,4.6517186,2.709,978,2.66889,10.1985,5154,4.47072,0.85,1343
1,9.1549418,2.457,1101,2.62011,10.1985,5154,4.47072,0.85,710
1,19.9815709,2.724,909,2.54717,10.1985,5154,4.47072,0.85,562
2,,4.6235211,738.7670156,2.9700035,10.1985,5154,4.47072,0.852266,465.178087
0,1.4415044,0.9274524,547.3172736,3.8345209,6.895,6603,4.438,1.58365,2198.307682
2,5.9630544,2.951,11000,10.0859,10.6479,5273,4.438,0.94,
2,1.1219715,0.8226121,3997.644592,3.9968417,12.0623,5780,4.67672,0.624,1479.536186
0,4.6756655,1.914,738,4.03134,9.89947,5779,4.88162,1.45,1085
2,1.0180114,1.1353639,2618.949217,6.5875997,10.794,5451,4.33923,1.0933,1801.321094
1,10.288886,1.391,854,2.63881,9.1416,5126,4.49772,0.87,483
0,1.0332441,3.8017836,26111.5082,4.087988,13.5608,2972,5.15741,0.156193,516.1833775
1,5.4526479,3.401,7750,14.5502,9.87463,6509,4.17233,1.57,1271
2,10.2613397,4.855,726,3.60391,9.13619,6124,4.15391,1.49,1152
1,3.4779776,2.5103489,27021.69324,12.5541925,11.1534,4699,4.54638,0.765001,897.2038496
1,3.0354017,2.8809533,16196.21582,14.1334903,12.7923,5751,4.35036,1.07224,1324.240471
1,3.1274634,1.9812695,1331.83693,2.5802896,10.8116,4225,4.5756,0.693431,813.0378617
1,7.4931613,1.9339295,1650.64705,2.7733674,10.8116,4225,4.5756,0.693431,607.6028794
1,49.825166,3.8714976,2059.406904,3.8319135,10.8116,4225,4.5756,0.693431,323.1161011
2,18.0574016,3.592177,1198.057213,3.8092663,10.6965,5897,4.45922,1.01,704.2235859
2,20.8774413,3.562,771,2.16145,9.5966,5396,4.50457,0.9,572
2,1.0214555,1.252,319,1.46266,8.5325,5098,4.54682,0.82,1449
2,2.7441672,1.418,5650,7.84317,10.634,5040,4.38482,0.97,1009
1,2.2047452,3.996,6872,17.9781,10.0274,6532.23,3.96818,1.99,2634
1,10.8948421,2.0719394,3168.385358,2.4691414,11.0402,3618,4.79432,0.435666,390.8242112
1,18.8016111,1.9093524,1686.788103,1.9112282,11.0402,3618,4.79432,0.435666,325.8292621
1,6.7900981,6.0786576,2158.173357,9.7548481,11.636,6378,4.438,2.00068,1192.256467
